"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"05/29/2017","AQS","060792006","2","13","ug/m3 SC","12","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"05/30/2017","AQS","060792006","2","17","ug/m3 SC","16","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"05/31/2017","AQS","060792006","2","10","ug/m3 SC","9","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"06/01/2017","AQS","060792006","2","3","ug/m3 SC","3","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"06/02/2017","AQS","060792006","2","16","ug/m3 SC","15","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"06/03/2017","AQS","060792006","2","25","ug/m3 SC","23","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"06/04/2017","AQS","060792006","2","31","ug/m3 SC","29","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"06/05/2017","AQS","060792006","2","33","ug/m3 SC","31","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"06/06/2017","AQS","060792006","2","24","ug/m3 SC","22","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"06/07/2017","AQS","060792006","2","10","ug/m3 SC","9","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"06/08/2017","AQS","060792006","2","9","ug/m3 SC","8","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"06/09/2017","AQS","060792006","2","5","ug/m3 SC","5","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"06/10/2017","AQS","060792006","2","13","ug/m3 SC","12","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"06/11/2017","AQS","060792006","2","16","ug/m3 SC","15","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"06/12/2017","AQS","060792006","2","19","ug/m3 SC","18","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"06/13/2017","AQS","060792006","2","22","ug/m3 SC","20","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"06/14/2017","AQS","060792006","2","30","ug/m3 SC","28","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"06/15/2017","AQS","060792006","2","28","ug/m3 SC","26","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"07/07/2017","AQS","060792006","2","37","ug/m3 SC","34","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"07/08/2017","AQS","060792006","2","39","ug/m3 SC","36","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"07/09/2017","AQS","060792006","2","21","ug/m3 SC","19","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"07/10/2017","AQS","060792006","2","20","ug/m3 SC","19","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"07/11/2017","AQS","060792006","2","23","ug/m3 SC","21","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"07/12/2017","AQS","060792006","2","26","ug/m3 SC","24","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"07/13/2017","AQS","060792006","2","15","ug/m3 SC","14","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"07/14/2017","AQS","060792006","2","11","ug/m3 SC","10","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"07/15/2017","AQS","060792006","2","21","ug/m3 SC","19","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"07/16/2017","AQS","060792006","2","40","ug/m3 SC","37","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/01/2017","AQS","060792006","2","12","ug/m3 SC","11","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/02/2017","AQS","060792006","2","16","ug/m3 SC","15","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/03/2017","AQS","060792006","2","16","ug/m3 SC","15","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/04/2017","AQS","060792006","2","13","ug/m3 SC","12","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/05/2017","AQS","060792006","2","3","ug/m3 SC","3","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/06/2017","AQS","060792006","2","1","ug/m3 SC","1","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/07/2017","AQS","060792006","2","13","ug/m3 SC","12","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/08/2017","AQS","060792006","2","13","ug/m3 SC","12","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/09/2017","AQS","060792006","2","9","ug/m3 SC","8","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/10/2017","AQS","060792006","2","14","ug/m3 SC","13","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/11/2017","AQS","060792006","2","14","ug/m3 SC","13","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/12/2017","AQS","060792006","2","17","ug/m3 SC","16","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/13/2017","AQS","060792006","2","13","ug/m3 SC","12","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/14/2017","AQS","060792006","2","7","ug/m3 SC","6","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/15/2017","AQS","060792006","2","17","ug/m3 SC","16","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/16/2017","AQS","060792006","2","18","ug/m3 SC","17","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/17/2017","AQS","060792006","2","16","ug/m3 SC","15","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/18/2017","AQS","060792006","2","19","ug/m3 SC","18","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/19/2017","AQS","060792006","2","15","ug/m3 SC","14","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/20/2017","AQS","060792006","2","9","ug/m3 SC","8","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/21/2017","AQS","060792006","2","13","ug/m3 SC","12","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/22/2017","AQS","060792006","2","18","ug/m3 SC","17","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/23/2017","AQS","060792006","2","11","ug/m3 SC","10","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/24/2017","AQS","060792006","2","16","ug/m3 SC","15","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/25/2017","AQS","060792006","2","21","ug/m3 SC","19","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/26/2017","AQS","060792006","2","11","ug/m3 SC","10","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/27/2017","AQS","060792006","2","7","ug/m3 SC","6","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/28/2017","AQS","060792006","2","6","ug/m3 SC","6","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/29/2017","AQS","060792006","2","17","ug/m3 SC","16","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/30/2017","AQS","060792006","2","24","ug/m3 SC","22","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"08/31/2017","AQS","060792006","2","18","ug/m3 SC","17","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"09/01/2017","AQS","060792006","2","38","ug/m3 SC","35","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"09/02/2017","AQS","060792006","2","39","ug/m3 SC","36","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"09/03/2017","AQS","060792006","2","43","ug/m3 SC","40","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"09/04/2017","AQS","060792006","2","28","ug/m3 SC","26","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"09/05/2017","AQS","060792006","2","23","ug/m3 SC","21","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"09/06/2017","AQS","060792006","2","16","ug/m3 SC","15","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"09/07/2017","AQS","060792006","2","13","ug/m3 SC","12","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"09/08/2017","AQS","060792006","2","17","ug/m3 SC","16","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"09/09/2017","AQS","060792006","2","11","ug/m3 SC","10","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"09/10/2017","AQS","060792006","2","10","ug/m3 SC","9","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"09/11/2017","AQS","060792006","2","13","ug/m3 SC","12","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"09/12/2017","AQS","060792006","2","8","ug/m3 SC","7","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"09/13/2017","AQS","060792006","2","9","ug/m3 SC","8","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"09/14/2017","AQS","060792006","2","13","ug/m3 SC","12","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"09/15/2017","AQS","060792006","2","21","ug/m3 SC","19","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"09/16/2017","AQS","060792006","2","22","ug/m3 SC","20","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
"09/17/2017","AQS","060792006","2","22","ug/m3 SC","20","San Luis Obispo","1","100.0000","81102","PM10 Total 0-10um STP","122","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","06","California","079","San Luis Obispo","35.25651","-120.6693"
