"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2018","AQS","060070008","3","35","ug/m3 SC","32","Chico-East Avenue","1","100.0000","81102","PM10 Total 0-10um STP","122","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/02/2018","AQS","060070008","3","36","ug/m3 SC","33","Chico-East Avenue","1","100.0000","81102","PM10 Total 0-10um STP","122","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/03/2018","AQS","060070008","3","41","ug/m3 SC","38","Chico-East Avenue","1","100.0000","81102","PM10 Total 0-10um STP","122","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/04/2018","AQS","060070008","3","26","ug/m3 SC","24","Chico-East Avenue","1","100.0000","81102","PM10 Total 0-10um STP","122","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/05/2018","AQS","060070008","3","16","ug/m3 SC","15","Chico-East Avenue","1","100.0000","81102","PM10 Total 0-10um STP","122","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/06/2018","AQS","060070008","3","17","ug/m3 SC","16","Chico-East Avenue","1","100.0000","81102","PM10 Total 0-10um STP","122","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/07/2018","AQS","060070008","3","23","ug/m3 SC","21","Chico-East Avenue","1","100.0000","81102","PM10 Total 0-10um STP","122","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/08/2018","AQS","060070008","3","13","ug/m3 SC","12","Chico-East Avenue","1","100.0000","81102","PM10 Total 0-10um STP","122","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/09/2018","AQS","060070008","3","4","ug/m3 SC","4","Chico-East Avenue","1","100.0000","81102","PM10 Total 0-10um STP","122","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/10/2018","AQS","060070008","3","12","ug/m3 SC","11","Chico-East Avenue","1","100.0000","81102","PM10 Total 0-10um STP","122","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/11/2018","AQS","060070008","3","17","ug/m3 SC","16","Chico-East Avenue","1","100.0000","81102","PM10 Total 0-10um STP","122","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
